gender,math score,reading score,writing score,attendance
female,72,72,74,0.19
female,69,90,88,0.39
female,90,95,93,0.54
male,47,57,44,0.17
male,76,78,75,0.56
female,71,83,78,0.78
female,88,95,92,0.11
male,40,43,39,0.6
male,64,64,67,0.52
female,38,60,50,0.45
male,58,54,52,0.39
male,40,52,43,0.2
female,65,81,73,0.41
male,78,72,70,0.16
female,50,53,58,0.52
female,69,75,78,0.67
male,88,89,86,0.31
female,18,32,28,0.17
male,46,42,46,0.23
female,54,58,61,0.14
male,66,69,63,0.38
female,65,75,70,0.93
male,44,54,53,0.46
female,69,73,73,0.2
male,74,71,80,0.65
male,73,74,72,0.85
male,69,54,55,0.36
female,67,69,75,0.97
male,70,70,65,0.33
female,62,70,75,0.85
female,69,74,74,0.27
female,63,65,61,0.84
female,56,72,65,0.4
male,40,42,38,0.75
male,97,87,82,0.32
male,81,81,79,0.42
female,74,81,83,0.97
female,50,64,59,0.99
female,75,90,88,0.2
male,57,56,57,0.55
male,55,61,54,0.17
female,58,73,68,0.63
female,53,58,65,0.69
male,59,65,66,0.57
female,50,56,54,0.76
male,65,54,57,0.3
female,55,65,62,0.59
female,66,71,76,0.23
female,57,74,76,0.92
male,82,84,82,0.86
male,53,55,48,0.94
male,77,69,68,0.77
male,53,44,42,0.24
male,88,78,75,0.36
female,71,84,87,0.61
female,33,41,43,0.54
female,82,85,86,0.63
male,52,55,49,0.27
male,58,59,58,0.2
female,0,17,10,0.75
male,79,74,72,0.53
male,39,39,34,0.49
male,62,61,55,0.9
female,69,80,71,0.78
female,59,58,59,0.12
male,67,64,61,0.77
male,45,37,37,0.14
female,60,72,74,0.71
male,61,58,56,0.35
female,39,64,57,0.51
female,58,63,73,0.46
male,63,55,63,0.83
female,41,51,48,0.17
male,61,57,56,0.51
male,49,49,41,0.94
male,44,41,38,0.95
male,30,26,22,0.73
male,80,78,81,0.31
female,61,74,72,0.85
female,62,68,68,0.55
female,47,49,50,0.67
male,49,45,45,0.99
male,50,47,54,0.47
